#,model,provider,lane,region,intelligence,reasoning,api_model_id,api_id_type,release_date,date_precision,api_verified,date_source,dat_score,status,notes
40,Qwen3.7-Max,qwen,,Eastern,hybrid,Yes,qwen3.7-max,alias,2026-05-17,exact,no,earliest pinned DashScope snapshot qwen3.7-max-2026-05-17,77.5067,live,
41,MiniMax-M3,minimax,,Eastern,reasoning,Yes,minimax-m3,alias,2026-06-01,exact,no,platform.minimax.io/docs/release-notes/models (Jun 1 2026),78.4807,live,
42,Claude-Fable-5,anthropic,,Western,hybrid,Yes,claude-fable-5,alias,2026-06-07,exact,yes,anthropic /v1/models created_at,83.4856,live,
43,GPT-5.6-Sol,openai,,Western,hybrid,Yes,gpt-5.6-sol,alias,2026-06-23,exact,yes,openai /v1/models created,80.4182,live,
44,Claude-Sonnet-5,anthropic,,Western,hybrid,No,claude-sonnet-5,alias,2026-06-29,exact,yes,anthropic /v1/models created_at,81.1623,live,
45,Grok-4.5,xai,,Western,hybrid,Yes,grok-4.5,alias,2026-06-29,exact,yes,xai /v1/models created,75.9292,live,
46,Hunyuan-Hy3,tencent,,Eastern,hybrid,No,hy3,alias,2026-07-06,exact,no,tencent.com Hy3 GA announcement (2026-07-06); preview was 2026-04-23,77.5208,live,
47,Kimi-K3,moonshot,,Eastern,reasoning,Yes,kimi-k3,alias,2026-07-16,exact,no,published announcement / dataset,77.5552,live,
48,Claude-Opus-5,anthropic,,Western,hybrid,Yes,claude-opus-5,alias,2026-07-24,exact,yes,anthropic /v1/models created_at,84.3003,live,
49,GPT-4,openai,,Western,all-rounder,No,gpt-4,snapshot,2023-03-14,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — original GPT-4
50,GPT-4-0613,openai,,Western,all-rounder,No,gpt-4-0613,snapshot,2023-06-13,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — June 2023 snapshot
51,GPT-3.5-Turbo-1106,openai,,Western,efficient,No,gpt-3.5-turbo-1106,snapshot,2023-11-06,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
52,GPT-3.5-Turbo-0125,openai,,Western,efficient,No,gpt-3.5-turbo-0125,snapshot,2024-01-25,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
53,GPT-4o-first,openai,,Western,all-rounder,No,gpt-4o-2024-05-13,snapshot,2024-05-13,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — first 4o release
54,GPT-4o-mini,openai,,Western,efficient,No,gpt-4o-mini-2024-07-18,snapshot,2024-07-18,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
55,o1,openai,,Western,reasoning,Yes,o1-2024-12-17,snapshot,2024-12-17,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — first reasoning model
56,o3-mini,openai,,Western,reasoning,Yes,o3-mini-2025-01-31,snapshot,2025-01-31,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
57,o1-pro,openai,,Western,reasoning,Yes,o1-pro-2025-03-19,snapshot,2025-03-19,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
58,o3,openai,,Western,reasoning,Yes,o3-2025-04-16,snapshot,2025-04-16,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
59,o3-pro,openai,,Western,reasoning,Yes,o3-pro-2025-06-10,snapshot,2025-06-10,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
60,Qwen-Max-1201,qwen,,Chinese,hybrid,No,qwen-max-1201,snapshot,2023-12-01,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — early Qwen-Max
61,Qwen-72B-Chat,qwen,,Chinese,hybrid,No,qwen-72b-chat,alias,2023-11-30,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
62,Qwen1.5-72B-Chat,qwen,,Chinese,hybrid,No,qwen1.5-72b-chat,alias,2024-02-04,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
63,Qwen2-72B-Instruct,qwen,,Chinese,hybrid,No,qwen2-57b-a14b-instruct,alias,2024-06-06,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 72b not served; 57b is
64,Qwen-Turbo-2024-11,qwen,,Chinese,efficient,No,qwen-turbo-2024-11-01,snapshot,2024-11-01,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — 
65,Moonshot-v1-32k,moonshot,,Chinese,all-rounder,No,moonshot-v1-32k,snapshot,2024-02-01,UNVERIFIED,no,PENDING VERIFICATION,,live,add-old — completes the v1 family
66,GPT-5-nano,openai,,Western,efficient,No,gpt-5-nano-2025-08-07,snapshot,2025-08-07,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
67,GPT-5-pro,openai,,Western,reasoning,Yes,gpt-5-pro-2025-10-06,snapshot,2025-10-06,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
68,GPT-5.2-pro,openai,,Western,reasoning,Yes,gpt-5.2-pro-2025-12-11,snapshot,2025-12-11,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
69,GPT-5.4-mini,openai,,Western,efficient,No,gpt-5.4-mini-2026-03-17,snapshot,2026-03-17,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
70,GPT-5.4-pro,openai,,Western,reasoning,Yes,gpt-5.4-pro-2026-03-05,snapshot,2026-03-05,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
71,GPT-5.5-pro,openai,,Western,reasoning,Yes,gpt-5.5-pro-2026-04-23,snapshot,2026-04-23,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
72,GPT-5.6-Luna,openai,,Western,reasoning,Yes,gpt-5.6-luna,alias,2026-06-23,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — sibling of Sol
73,GPT-5.6-Terra,openai,,Western,reasoning,Yes,gpt-5.6-terra,alias,2026-06-23,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — sibling of Sol
74,Claude-Opus-4.6,anthropic,,Western,reasoning,Yes,claude-opus-4-6,snapshot,2026-02-04,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
75,Claude-Opus-4.8,anthropic,,Western,reasoning,Yes,claude-opus-4-8,snapshot,2026-05-28,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — 
76,GLM-5,zhipu,hunyuan,Chinese,reasoning,Yes,glm-5,snapshot,2026-02-10,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — new vendor
77,GLM-5.2,zhipu,hunyuan,Chinese,reasoning,Yes,glm-5.2,snapshot,2026-06-15,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — new vendor
78,MiniMax-M2.1,minimax,qwen,Chinese,reasoning,Yes,MiniMax-M2.1,snapshot,2026-02-13,UNVERIFIED,no,PENDING VERIFICATION,,live,add-new — fills the M2 line
