#,model,provider,lane,region,intelligence,reasoning,api_model_id,api_id_type,release_date,date_precision,api_verified,date_source,dat_score,status,pace_exempt,notes,shakedown_items_ok,shakedown_ms
29,GPT-5.4,openai,,Western,hybrid,No,gpt-5.4-2026-03-05,pinned,2026-03-04,exact,yes,openai /v1/models created,76.7915,live,,,10,2149
30,Grok-4.20-nonreason,xai,,Western,all-rounder,No,grok-4.20-0309-non-reasoning,pinned,2026-03-09,exact,yes,xai /v1/models created,73.9793,live,,,10,1025
31,Grok-4.20-reason,xai,,Western,reasoning,Yes,grok-4.20-0309-reasoning,pinned,2026-03-09,exact,yes,xai /v1/models created,75.9158,live,,,2,95187
32,MiniMax-M2.7,minimax,,Eastern,reasoning,Yes,minimax-m2.7,alias,2026-03-18,exact,no,minimax.io/news/minimax-m27-en + platform release notes (2026-03-18),77.8586,blocked,,"HTTP 402 on the Tencent TokenHub gateway: free-trial quota exhausted, postpaid billing not enabled. NOT a slow model — it answered in 49s on 2026-08-03. Has DAT 77.8586. Clears when billing is enabled.",,
33,Claude-Opus-4.7,anthropic,,Western,hybrid,Yes,claude-opus-4-7,alias,2026-04-14,exact,yes,anthropic /v1/models created_at,85.8920,live,,,10,9375
34,Grok-4.3,xai,,Western,hybrid,Yes,grok-4.3,alias,2026-04-17,exact,yes,xai /v1/models created,76.5504,live,,,10,36701
35,Kimi-K2.6,moonshot,,Eastern,reasoning,Yes,kimi-k2.6,alias,2026-04-21,exact,no,forum.moonshot.ai/t/meet-kimi-k2-6 (2026-04-21),78.5548,live,,"SLOW but inside the cap: 4 of 10 words hit the 300s cap, mean 216s per word (2026-08-04). Kept; the in-run drop rule will pull it if it degrades.",,
36,GPT-5.5,openai,,Western,hybrid,Yes,gpt-5.5-2026-04-23,pinned,2026-04-22,exact,yes,openai /v1/models created,78.1195,live,,,10,103144
37,DeepSeek-V4-Flash,deepseek,,Eastern,efficient,No,deepseek-v4-flash,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24),73.9544,live,,,10,895137
38,DeepSeek-V4-Flash-TH,deepseek,hunyuan,Eastern,efficient,No,deepseek-v4-flash,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24),73.5894,live,,"same weights as DeepSeek-V4-Flash, served through the Tencent TokenHub gateway instead of DeepSeek's own API. TH = TokenHub, NOT thinking mode. Deliberate duplicate: it measures serving-stack differences for one model.",10,159530
39,DeepSeek-V4-Pro,deepseek,,Eastern,reasoning,Yes,deepseek-v4-pro,alias,2026-04-24,exact,no,api-docs.deepseek.com/updates (2026-04-24),77.3413,live,,,10,621537
40,Qwen3.7-Max,qwen,,Eastern,hybrid,Yes,qwen3.7-max,alias,2026-05-17,exact,no,earliest pinned DashScope snapshot qwen3.7-max-2026-05-17,77.5067,live,,,10,352032
41,MiniMax-M3,minimax,,Eastern,reasoning,Yes,minimax-m3,alias,2026-06-01,exact,no,platform.minimax.io/docs/release-notes/models (Jun 1 2026),78.4807,blocked,,"HTTP 402 on the Tencent TokenHub gateway: free-trial quota exhausted, postpaid billing not enabled. Has DAT 78.4807. Clears when billing is enabled.",10,992003
42,Claude-Fable-5,anthropic,,Western,hybrid,Yes,claude-fable-5,alias,2026-06-07,exact,yes,anthropic /v1/models created_at,83.4856,live,,,10,13537
43,GPT-5.6-Sol,openai,,Western,hybrid,Yes,gpt-5.6-sol,alias,2026-06-23,exact,yes,openai /v1/models created,80.4182,live,,,10,52418
44,Claude-Sonnet-5,anthropic,,Western,hybrid,No,claude-sonnet-5,alias,2026-06-29,exact,yes,anthropic /v1/models created_at,81.1623,live,,,10,11431
45,Grok-4.5,xai,,Western,hybrid,Yes,grok-4.5,alias,2026-06-29,exact,yes,xai /v1/models created,75.9292,live,,,10,190388
46,Hunyuan-Hy3,tencent,,Eastern,hybrid,No,hy3,alias,2026-07-06,exact,no,tencent.com Hy3 GA announcement (2026-07-06); preview was 2026-04-23,77.5208,live,,,10,3069
47,Kimi-K3,moonshot,,Eastern,reasoning,Yes,kimi-k3,alias,2026-07-16,exact,no,published announcement / dataset,77.5552,live,yes,"OVER THE 5-MINUTE RULE, KEPT ANYWAY (Dawei 2026-08-04): high-profile release, reviewers will ask about it. 5 of 10 words hit the 300s cap, mean 161s for the ones that land, measured off Beijing peak. Has DAT 77.5552. Expect ~50% blank words; pace_exempt stops the in-run drop rule, the per-word cap still applies.",10,965080
48,Claude-Opus-5,anthropic,,Western,hybrid,Yes,claude-opus-5,alias,2026-07-24,exact,yes,anthropic /v1/models created_at,84.3003,live,,,10,34915
49,GPT-4,openai,,Western,all-rounder,No,gpt-4,snapshot,2023-03-14,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — original GPT-4,10,2940
50,GPT-4-0613,openai,,Western,all-rounder,No,gpt-4-0613,snapshot,2023-06-13,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — June 2023 snapshot,10,3285
51,GPT-3.5-Turbo-1106,openai,,Western,efficient,No,gpt-3.5-turbo-1106,snapshot,2023-11-06,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — ,10,3107
52,GPT-3.5-Turbo-0125,openai,,Western,efficient,No,gpt-3.5-turbo-0125,snapshot,2024-01-25,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — ,10,2036
53,GPT-4o-first,openai,,Western,all-rounder,No,gpt-4o-2024-05-13,snapshot,2024-05-13,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — first 4o release,10,1253
54,GPT-4o-mini,openai,,Western,efficient,No,gpt-4o-mini-2024-07-18,snapshot,2024-07-18,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — ,10,2030
55,o1,openai,,Western,reasoning,Yes,o1-2024-12-17,snapshot,2024-12-17,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — first reasoning model,9,53017
56,o3-mini,openai,,Western,reasoning,Yes,o3-mini-2025-01-31,snapshot,2025-01-31,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — ,10,24573
57,o1-pro,openai,openai_responses,Western,reasoning,Yes,o1-pro-2025-03-19,snapshot,2025-03-19,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,,
58,o3,openai,,Western,reasoning,Yes,o3-2025-04-16,snapshot,2025-04-16,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — ,10,81736
59,o3-pro,openai,openai_responses,Western,reasoning,Yes,o3-pro-2025-06-10,snapshot,2025-06-10,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,,
60,Qwen-Max-1201,qwen,,Eastern,hybrid,No,qwen-max-1201,snapshot,2023-12-01,UNVERIFIED,no,PENDING VERIFICATION,,blocked,,HTTP 429 model quota on this DashScope account; needs a quota raise from Dawei. Not attempted until then.,0,94948
61,Qwen-72B-Chat,qwen,,Eastern,hybrid,No,qwen-72b-chat,alias,2023-11-30,UNVERIFIED,no,PENDING VERIFICATION,,dead,,add-old — ,0,1763
62,Qwen1.5-72B-Chat,qwen,,Eastern,hybrid,No,qwen1.5-72b-chat,alias,2024-02-04,UNVERIFIED,no,PENDING VERIFICATION,,dead,,add-old — ,0,1433
63,Qwen2-72B-Instruct,qwen,,Eastern,hybrid,No,qwen2-57b-a14b-instruct,alias,2024-06-06,UNVERIFIED,no,PENDING VERIFICATION,,dead,,add-old — 72b not served; 57b is,0,1582
64,Qwen-Turbo-2024-11,qwen,,Eastern,efficient,No,qwen-turbo-2024-11-01,snapshot,2024-11-01,UNVERIFIED,no,PENDING VERIFICATION,,blocked,,HTTP 403 access denied on this DashScope account; needs an access request from Dawei. Not attempted until then.,0,24071
65,Moonshot-v1-32k,moonshot,,Eastern,all-rounder,No,moonshot-v1-32k,snapshot,2024-02-01,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-old — completes the v1 family,10,2550
66,GPT-5-nano,openai,,Western,efficient,No,gpt-5-nano-2025-08-07,snapshot,2025-08-07,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — ,10,57904
67,GPT-5-pro,openai,openai_responses,Western,reasoning,Yes,gpt-5-pro-2025-10-06,snapshot,2025-10-06,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,,
68,GPT-5.2-pro,openai,openai_responses,Western,reasoning,Yes,gpt-5.2-pro-2025-12-11,snapshot,2025-12-11,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,10,
69,GPT-5.4-mini,openai,,Western,efficient,No,gpt-5.4-mini-2026-03-17,snapshot,2026-03-17,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — ,10,2931
70,GPT-5.4-pro,openai,openai_responses,Western,reasoning,Yes,gpt-5.4-pro-2026-03-05,snapshot,2026-03-05,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,,
71,GPT-5.5-pro,openai,openai_responses,Western,reasoning,Yes,gpt-5.5-pro-2026-04-23,snapshot,2026-04-23,UNVERIFIED,no,PENDING VERIFICATION,,live,,Responses-API only — chat/completions 404s. Probed 2026-08-04 on /v1/responses: answered correctly. SLOW + expensive reasoning; own lane.,,
72,GPT-5.6-Luna,openai,,Western,reasoning,Yes,gpt-5.6-luna,alias,2026-06-23,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — sibling of Sol,10,30024
73,GPT-5.6-Terra,openai,,Western,reasoning,Yes,gpt-5.6-terra,alias,2026-06-23,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — sibling of Sol,10,10998
74,Claude-Opus-4.6,anthropic,,Western,reasoning,Yes,claude-opus-4-6,snapshot,2026-02-04,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — ,10,6073
75,Claude-Opus-4.8,anthropic,,Western,reasoning,Yes,claude-opus-4-8,snapshot,2026-05-28,UNVERIFIED,no,PENDING VERIFICATION,,live,,add-new — ,10,4909
76,GLM-5,zhipu,hunyuan,Eastern,reasoning,Yes,glm-5,snapshot,2026-02-10,UNVERIFIED,no,PENDING VERIFICATION,,dropped,,"dropped: GLM family excluded from DAT for speed (>1min/call); 10 calls per CAT assessment makes it 5-8 min/assessment, and it has no DAT counterpart",1,208023
77,GLM-5.2,zhipu,hunyuan,Eastern,reasoning,Yes,glm-5.2,snapshot,2026-06-15,UNVERIFIED,no,PENDING VERIFICATION,,dropped,,"dropped: GLM family excluded from DAT for speed (>1min/call); 10 calls per CAT assessment makes it 5-8 min/assessment, and it has no DAT counterpart",4,303265
78,MiniMax-M2.1,minimax,qwen,Eastern,reasoning,Yes,MiniMax-M2.1,snapshot,2026-02-13,UNVERIFIED,no,PENDING VERIFICATION,,live,,"add-new — fills the M2 line; Measured 2026-08-04: mean 43s per word, 0 capped. Fine.",10,432837
79,Doubao-Seed-2.0-mini,bytedance,doubao,Eastern,efficient,Yes,doubao-seed-2-0-mini-260428,snapshot,2026-04-28,UNVERIFIED,yes,PENDING VERIFICATION,,live,,add: Volcano Ark; new vendor (ByteDance),,
80,Doubao-Seed-2.0-pro,bytedance,doubao,Eastern,hybrid,Yes,doubao-seed-2-0-pro-260215,snapshot,2026-02-15,UNVERIFIED,yes,PENDING VERIFICATION,,live,,add: Volcano Ark; new vendor (ByteDance),,
81,Doubao-Seed-2.1-turbo,bytedance,doubao,Eastern,reasoning,Yes,doubao-seed-2-1-turbo-260628,snapshot,2026-06-28,UNVERIFIED,yes,PENDING VERIFICATION,,live,yes,"OVER THE 5-MINUTE RULE, KEPT ANYWAY (Dawei 2026-08-04). 7 of 10 words hit the 300s cap, mean 226s for the ones that land; one probe took 664s and 40,192 reasoning tokens for the word 'harp'. No DAT counterpart. Expect ~70% blank words; pace_exempt stops the in-run drop rule, the per-word cap still applies.",,
82,DeepSeek-V3.1,deepseek,qwen,Eastern,all-rounder,No,deepseek-v3.1,alias,2025-08-21,UNVERIFIED,yes,PENDING VERIFICATION,,live,,add: DashScope; fills the DeepSeek line between V3 and V3.2,,
83,Claude-3-Opus,anthropic,,Western,hybrid,No,,,2024-03-04,exact,no,carried from DAT,,dead,,"retired by Anthropic; claude-3-opus-20240229 not served, and Anthropic now lists only 11 models",,
84,Claude-3-Haiku,anthropic,,Western,efficient,No,,,2024-03-13,exact,no,carried from DAT,,dead,,retired by Anthropic,,
85,Claude-3.5-Sonnet,anthropic,,Western,all-rounder,No,,,2024-06-20,exact,no,carried from DAT,,dead,,retired by Anthropic,,
86,Claude-Sonnet-4,anthropic,,Western,reasoning,Yes,,,2025-05-22,exact,no,carried from DAT,,dead,,retired by Anthropic; claude-sonnet-4-20250514 not served,,
87,Kimi-K2,moonshot,,Eastern,all-rounder,No,,,2025-07-11,exact,no,carried from DAT,,dead,,retired by Moonshot (k2.5+ only); kimi-k2-250711 on Volcano Ark is listed but closed to subscription,,
88,Grok-Code-Fast,xai,,Western,reasoning,Yes,,,2025-08-28,exact,no,carried from DAT,,dead,,retired by xAI,,
89,Llama-2-70b,meta,,Western,all-rounder,No,,,2023-07-18,exact,no,carried from DAT,,dead,,no host on any key we hold; would need OpenRouter,,
90,Llama4-Maverick,meta,,Western,hybrid,No,,,2025-04-05,exact,no,carried from DAT,,dead,,no host on any key we hold; would need OpenRouter,,
91,Llama4-Scout,meta,,Western,efficient,No,,,2025-04-05,exact,no,carried from DAT,,dead,,no host on any key we hold; would need OpenRouter,,
92,Ernie-4.0-8k,baidu,,Eastern,all-rounder,No,,,2023-10-17,exact,no,carried from DAT,,dead,,no host on any key we hold,,
